,tweet_id,airline_sentiment,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
0,569612379811676161,negative,US Airways,,09202010,,0,@USAirways US Airlines 699 LA to RDU is holding onto baggages for an hour already and everyone is still waiting!?,,2015-02-22 13:39:08 -0800,,Mountain Time (US & Canada)
1,570283248301043712,negative,Southwest,,slobotski,,0,@SouthwestAir went to purchase a flight that I began processing not even 4 minutes earlier and the points had gone up - any help?,,2015-02-24 10:04:56 -0800,Midwest + Airplanes,Central Time (US & Canada)
2,569684565838553088,negative,American,,61jr,,0,@AmericanAir their flights into Buffalo as well -- You were the only flight Cancelled Flightled!!!,,2015-02-22 18:25:59 -0800,St. Catharines,
3,569313126342123520,negative,US Airways,,iZoom23,,0,@USAirways Sitting in a cesspool of germs on the ground in #PHL for 2 hours now.,,2015-02-21 17:50:01 -0800,New York,Eastern Time (US & Canada)
4,569723892358467584,negative,United,,ljtypes,,0,@united you advertise the flight and its still on you website and still can't be book. spent over 2 hours with united support,,2015-02-22 21:02:15 -0800,H-town,
5,568228257037856768,negative,United,,sjking2000,,0,@united I'm asking if you can simplify the communications- thx,,2015-02-18 17:59:08 -0800,"California, US",Pacific Time (US & Canada)
6,569541336224927744,negative,Delta,,KShay1985,,0,@JetBlue thanks for making my vacation not worth it again... Currently waiting on the runway for another hour to DEPLANE,,2015-02-22 08:56:50 -0800,"New York City, NY",
7,570261418387353601,negative,American,,amandakryska,,0,@AmericanAir I am trying to change the time of a flight I already purchased and was told I have to pay a $400 change fee. Ridiculous.,,2015-02-24 08:38:11 -0800,Chicago,Central Time (US & Canada)
8,570014602903339008,positive,American,,susan2312,,0,@AmericanAir Was not on board you today just watched report unfold on Twitter but still am very proud!,,2015-02-23 16:17:26 -0800,"Hants/Surrey, UK",London
9,568113383242911744,positive,Southwest,,jdaniels1974,,0,@SouthwestAir thanks for the follow up.  I appreciate it.,"[38.97681463, -76.50266928]",2015-02-18 10:22:40 -0800,,
10,570010882069151744,positive,Delta,,sicula,,0,@JetBlue you found my camera!  Thank you!  You rock!,"[41.21681145, -73.12508256]",2015-02-23 16:02:39 -0800,"Stratford, CT",Eastern Time (US & Canada)
11,569961481455976449,neutral,US Airways,,charmellemaria,,0,"@USAirways is there an additional charge for a golf bag with clubs , shoes, and golf balls, if that's the only piece of luggage you check?","[38.95804042, -77.26190063]",2015-02-23 12:46:21 -0800,"mclean, va",
12,569635479383085056,negative,US Airways,,elias02,,0,@USAirways after a crappy flight due to delays and rude staff members I'm happy to report after paying $25 to check my luggage it's ruined,,2015-02-22 15:10:56 -0800,,Quito
13,570034025148108800,negative,American,,nf14jk,,0,@AmericanAir 3611 was supposed to depart at 5:10pm central.  About ready to close the door at 7:34pm central.,,2015-02-23 17:34:36 -0800,,
14,568139253194067968,negative,US Airways,,Kurt_Wirth,,0,"@USAirways Doubt it. Gate 35x is a cluster, and every agent encounter I saw (including one with me) was outright rude. Just very put off.",,2015-02-18 12:05:28 -0800,"ÜT: 43.182918,-77.651224",Eastern Time (US & Canada)
15,569323727818657792,negative,United,,hadAbadWeek,,0,@united what exactly do you hang on this hook? http://t.co/ZHxOk07Aqa,,2015-02-21 18:32:08 -0800,,
16,569161513056935936,negative,US Airways,,shivadelrahim,,0,@USAirways - been on hold with reservations for over 30 min already! #worstairline,,2015-02-21 07:47:33 -0800,,
17,568234670166568960,negative,United,,vina_love,,0,@united yes I have,,2015-02-18 18:24:37 -0800,ny,Quito
18,569598047593713665,positive,United,,Bharrison__,,0,@united this is why I fly @SouthwestAir ... Never have any issues,,2015-02-22 12:42:11 -0800,,Central Time (US & Canada)
19,570301488192458752,negative,American,,skgiffard,,0,.@AmericanAir can you connect me to a person without having to wait 2+ hours on hold? I still haven't been able to resolve the problem.,,2015-02-24 11:17:25 -0800,"Boston, MA",Eastern Time (US & Canada)
20,568180264914051072,positive,Southwest,,dalyrt5,,0,"@SouthwestAir @Imaginedragons @beatsmusic well timed tweet, just boarded and will be listening on my way home!",,2015-02-18 14:48:26 -0800,"Nashville, TN",Arizona
21,568226977070632960,negative,US Airways,,drb1125,,0,@USAirways Emailed them a week ago and still nothing...,,2015-02-18 17:54:03 -0800,,
22,569687163136315392,neutral,American,,rosieblisss,,0,@AmericanAir yes. He's in the next flight,,2015-02-22 18:36:18 -0800,,Eastern Time (US & Canada)
23,569588464896876545,negative,American,,MDDavis7,,0,@AmericanAir thx for nothing on getting us out of the country and back to US. Broken plane? Come on. Get another one.,,2015-02-22 12:04:07 -0800,US,Eastern Time (US & Canada)
24,567722664597286913,negative,Southwest,,misskennedys,,1,@SouthwestAir has the WORST customer service of any airline I've ever flown.,,2015-02-17 08:30:05 -0800,,Central Time (US & Canada)
25,567851359178989568,negative,United,,caphotographix,,0,"@united time for a rant...you delayed my flight and still forgot my luggage...then delayed on the Tarmac, moments I love you United",,2015-02-17 17:01:28 -0800,,
26,567894002286096384,positive,Delta,,fanmla1,,0,"@JetBlue big shoutout to the crews on 2017 Bos&gt;jfk &amp; 486 jfk&gt;roc, &amp; gate crews at c19 Bos &amp; 6 jfk. Long day of delays made better by them!",,2015-02-17 19:50:55 -0800,,Eastern Time (US & Canada)
27,567702414157824000,negative,Southwest,,lucasdavidson,,0,@SouthwestAir on hold for 2 hours and then you hung up 3 Cancelled Flightled flights. Running out of daycare for our kids who are trapped at home.,,2015-02-17 07:09:37 -0800,,Eastern Time (US & Canada)
28,567760331829559296,negative,Southwest,,Foxycleo13,,0,"@SouthwestAir the woman working the counter in philly at 630 this am needs to be fired. Due to bad weather, I along with other passengers",,2015-02-17 10:59:46 -0800,"Memphis, TN",Central Time (US & Canada)
29,569301606891712512,neutral,US Airways,,MarinaInTheCity,,0,@USAirways How long before departure do gates stay open? Will I make my connecting flight 1861 to RDU from flight 894???,,2015-02-21 17:04:14 -0800,"New York, NY",Eastern Time (US & Canada)
30,569723768773349376,negative,United,,ljtypes,,0,@united tried to book a flight IAH-MNL departing 3/31/15 returning 4/17/15 you are advertising 9 flights for $1051 that can't be book!,,2015-02-22 21:01:46 -0800,H-town,
31,568564006329434113,positive,United,,PaulBEsteves,,0,@united thanks for the help. Wish the phone reps could be so accomidating,,2015-02-19 16:13:17 -0800,Brooklyn,Eastern Time (US & Canada)
